,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
18,"Evenings at Donaldson Manor; Or, The Christmas Guest",Maria J. McIntosh,Fiction,Christmas stories,NA,23,86471,English,2006-12-04
19,Lectures on Landscape,John Ruskin,Landscape painting,NA,NA,110,17491,English,2006-12-04
20,Tienhaarassa,Anonymous,Drama,NA,NA,9,2298,Finnish,2006-12-04
21,Suomalaisia sananlaskuja,Elias Lönnrot,"Proverbs, Finnish",NA,NA,7,7197,Finnish,2006-12-05
22,"""Sequil""; Or, Things Whitch Aint Finished in the First",Henry A. Shute,Diary fiction,Boys -- Juvenile fiction,NA,6,35861,English,2006-12-05
23,The Letters of Queen Victoria : A Selection from Her Majesty's Corresponden,e Letters of Queen Victoria : A Selection from Her Majesty's Correspondence,"Great Britain -- History -- Victoria, 1837-1901","Victoria, Queen of Great Britain, 1819-1901 -- Correspondence",Great Britain -- Politics and government -- 1837-1901,294,216755,English,2006-12-05
24,Crankisms,Lisle de Vaux Matthewman,Wit and humor,Aphorisms and apothegms,NA,11,2544,English,2006-12-05
25,Pirate Gold,Frederic Jesup Stimson,Boston (Mass.) -- Fiction,Bank employees -- Fiction,NA,33,41217,English,2006-12-05
26,Fables for the Frivolous,Guy Wetmore Carryl,Fables,Humorous poetry,NA,59,612,English,2006-11-06
27,Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,Fairy tales -- Germany,NA,NA,142,1112,English,2006-11-06
28,Fanny Hill: Memoirs of a Woman of Pleasure,John Cleland,England -- Fiction,Prostitutes -- Fiction,Erotic stories,277,415,English,2006-11-06
29,"Las Fábulas de Esopo, Vol. 02",Aesop and George Fyler Townsend,"Fables, Greek -- Translations into Spanish",NA,NA,39,727,Spanish,2006-11-06
30,Fire and Ice,Robert Frost,Poetry,NA,NA,150,548,English,2006-11-06
31,A Final Reckoning: A Tale of Bush Life in Australia,G. A. Henty,Australia -- Fiction,NA,NA,40,100581,English,2006-12-05
32,Northern Nut Growers Report of the Proceedings at the Twenty-First Annu,rthern Nut Growers Report of the Proceedings at the Twenty-First Annual,Northern Nut Growers Association -- Periodicals,Nut trees -- Periodicals,Nuts -- Periodicals,11,39040,English,2006-12-05
33,Quin,Alice Caldwell Hegan Rice,Courtship -- Fiction,"World War, 1914-1918 -- Veterans -- Fiction",Actors and actresses -- Fiction,40,85059,English,2006-12-05
34,Scottish Ghost Stories,Elliott O'Donnell,Folklore -- Scotland,"Ghost stories, Scottish",NA,86,46918,English,2006-12-07
35,Fishing with a Worm,Bliss Perry,Fishing,NA,NA,10,318,English,2006-12-07
36,Five Children and It,E. Nesbit,Brothers and sisters -- Fiction,Wishes -- Fiction,Fairies -- Fiction,11,454,English,2006-12-07
37,Five Little Peppers and How They Grew,Margaret Sidney,Poor -- Juvenile fiction,Conduct of life -- Juvenile fiction,Children -- Conduct of life -- Juvenile fiction,23,507,English,2006-12-07
38,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Science fiction,Horror tales,Gothic fiction,246,546,English,2006-12-07
39,Ghost Stories of an Antiquary,M. R. James,"Horror tales, English","Short stories, English","Ghost stories, English",30,437,English,2006-12-07
40,"The Call of the Beaver Patrol; Or, A Break in the Glacier",G. Harvey Ralphson,Boy Scouts of America -- Juvenile fiction,Alaska -- Juvenile fiction,Coal mines and mining -- Juvenile fiction,6,76174,English,2006-12-06
41,Men's Sewed Straw Hats,United States Tariff Commission,Hats,Straw industries,NA,7,10605,English,2006-12-06
42,"Relação do formidavel, e lastimoso terremoto succedido no Reino de Valen","lação do formidavel, e lastimoso terremoto succedido no Reino de Valença",Earthquakes -- Portugal -- Valença,Valença (Portugal),NA,4,2390,Portuguese,2006-12-06
43,The Angel Children,Charlotte M. Higgins,Christian life -- Juvenile fiction,Children's stories,Angels -- Juvenile fiction,24,28609,English,2006-12-06
44,Riders of the Silences,Max Brand,Western stories,NA,NA,36,69397,English,2006-12-07
45,Großer Lärm,Franz Kafka,Autobiographies,NA,NA,16,312,German,2006-12-08
46,Give Me Liberty or Give Me Death,Patrick Henry,"Speeches, addresses, etc., American",United States -- Politics and government -- 1775-1783 -- Sources,Virginia -- Politics and government -- 1775-1783 -- Sources,32,328,English,2006-12-08
47,Four Max Carrados Detective Stories,Ernest Bramah,"Detective and mystery stories, English",Private investigators -- Fiction,Blind -- Fiction,40,355,English,2006-12-08
48,From October to Brest-Litovsk,Leon Trotsky,"Soviet Union -- History -- Revolution, 1917-1921",Brest-Litovsk Peace Conference (1917-1918),NA,39,446,English,2006-12-08
49,Great Big Treasury of Beatrix Potter,Beatrix Potter,Short stories,"Children's stories, English",Animals -- Fiction,333,598,English,2006-12-08
50,Märchen der Gebrüder Grimm 1,Jacob Grimm and Wilhelm Grimm,Fairy tales -- Germany,NA,NA,200,714,German,2006-12-09
51,Märchen der Gebrüder Grimm 2,Jacob Grimm and Wilhelm Grimm,Fairy tales -- Germany,NA,NA,160,1144,German,2006-12-09
52,We Ten,Barbara Yechton,Conduct of life -- Juvenile fiction,Twins -- Juvenile fiction,Brothers and sisters -- Juvenile fiction,8,80959,English,2006-12-07
53,"The Rover Boys in the Air; Or, From College Campus to the Clouds",Stratemeyer,Detective and mystery stories,Biplanes -- Juvenile fiction,College students -- Juvenile fiction,28,60070,English,2006-12-07
54,The Mermaid: A Love Tale,L. Dougall,Physicians -- Fiction,Prince Edward Island -- Fiction,Canada -- Social life and customs -- Fiction,12,84631,English,2006-12-07
55,"Historic Tales: The Romance of Reality. Vol. 06 (of 15), French",Charles Morris,France -- History,NA,NA,11,85345,English,2006-12-08
56,De Gouden Vaas,E. T. A. Hoffmann,Fantasy fiction,Fairy tales -- Germany,NA,9,31321,Dutch,2006-12-08
57,Pocket Island: A Story of Country Life in New England,Charles Clark Munn,New England -- Social life and customs -- Fiction,NA,NA,3,46720,English,2006-12-08
58,The Napoleon of Notting Hill,G. K. Chesterton,Fantasy fiction,Political fiction,"Notting Hill (London, England) -- Fiction",232,55631,English,2006-12-08
59,Left on the Labrador: A Tale of Adventure Down North,Dillon Wallace,Labrador (N.L.) -- Fiction,NA,NA,22,54639,English,2006-12-08
60,Gevleugelde Daden: Avonturen der Eerste Hollandsche Luchtschippers,Heijermans,Flying-machines -- Humor,NA,NA,3,32491,Dutch,2006-12-08
61,La disfatta,Alfredo Oriani,Fiction,NA,NA,10,80421,Italian,2006-12-09
62,Lo assedio di Roma,Francesco Domenico Guerrazzi,Rome (Italy) -- History -- Revolution of 1848-1849,NA,NA,5,245654,Italian,2006-12-09
63,Theodoric the Goth: Barbarian Champion of Civilisation,Thomas Hodgkin,"Theodoric, King of the Ostrogoths, 454?-526",Ostrogoths -- Kings and rulers -- Biography,Ostrogoths -- Italy -- History,48,119913,English,2006-12-09
64,"Captains of Industry; or, Men of Business Who Did Something Besides Making Mon","ptains of Industry; or, Men of Business Who Did Something Besides Making Money",Industrial arts -- Biography,NA,NA,64,92121,English,2006-12-09
65,"Twenty Years of Congress, Volume 2",James Gillespie Blaine,United States -- History -- 1865-1898,United States -- History,NA,4,299368,English,2006-12-08
66,Ethics in Service,William H. Taft,United States -- Politics and government,Legal ethics,Presidents -- United States,19,23371,English,2006-12-09
67,Zuñi Fetiches,Frank Hamilton Cushing,Zuni Indians -- Religion,Zuni mythology,Fetishes (Ceremonial objects),18,17531,English,2006-12-09
68,Sarah's School Friend,May Baldwin,Social classes -- England -- Juvenile fiction,Family -- England -- Juvenile fiction,Young women -- England -- Juvenile fiction,19,0,English,2006-12-09
69,Caruso and Tetrazzini on the Art of Singing,Enrico Caruso and Luisa Tetrazzini,Singing,NA,NA,40,18620,English,2006-12-09
70,Four Days: The Story of a War Marriage,Hetty Hemenway,"World War, 1914-1918 -- Fiction",NA,NA,8,10104,English,2006-12-09
71,"Sue, A Little Heroine",L. T. Meade,Christian life -- Juvenile fiction,London (England) -- Juvenile fiction,Children with disabilities -- Juvenile fiction,22,73430,English,2006-12-09
72,With the Colors,Everard Jack Appleton,"World War, 1914-1918 -- Poetry",NA,NA,23,12620,English,2006-12-09
73,Diophantine Analysis,R. D. Carmichael,Diophantine analysis,NA,NA,32,22700,English,2006-12-09
74,The Story of the Cambrian: A Biography of a Railway,C. P. Gasquoine,Cambrian Railway,NA,NA,40,45817,English,2006-12-10
75,Frank Fairlegh: Scenes from the Life of a Private Pupil,Frank E. Smedley,Boys -- England -- Juvenile fiction,Horsemen and horsewomen -- Juvenile fiction,Upper class -- England -- Juvenile fiction,21,201340,English,2006-12-10
76,Rimrock Jones,Dane Coolidge,Western stories,NA,NA,13,74283,English,2006-12-10
77,Danse macabre,Anonymous,Dance of death,Death -- Poetry,NA,34,5609,French,2006-12-10
78,Merely Mary Ann,Israel Zangwill,Composers -- Fiction,Musicians -- Fiction,Women household employees -- Fiction,6,29917,English,2006-12-10
79,Légendes pour les enfants,Paul Boiteau d'Ambly and Bertall,"Children's stories, French",Legends -- France,NA,22,0,French,2006-12-10
80,Little Pollie,Gertrude P. Dyer,Christian life -- Juvenile fiction,Friendship -- Juvenile fiction,Kindness -- Juvenile fiction,12,18054,English,2006-12-10
81,A Houseful of Girls,Sarah Tytler,England -- Social life and customs -- 19th century -- Fiction,Young women -- Fiction,Sisters -- Fiction,17,92884,English,2006-12-10
82,Warrior Gap: A Story of the Sioux Outbreak of '68.,Charles King,Western stories,Dakota Indians -- Wars -- Fiction,NA,21,59573,English,2006-12-10
83,A Boswell of Baghdad; With Diversions,E. V. Lucas,"Ibn Khallikan, 1211-1282. Wafayat al-a'yan",NA,NA,11,43022,English,2006-12-10
84,The Beach of Dreams: A Romance,H. De Vere Stacpoole,Shipwreck survival -- Fiction,Adventure stories,Castaways -- Fiction,59,70876,English,2006-12-10
85,The Tragic Muse,Henry James,England -- Fiction,Man-woman relationships -- Fiction,Artists -- Fiction,69,211461,English,2006-12-10
86,Rome: A Sketch-Book,Fred Richards,Architecture -- Rome,"Architecture, Roman -- Italy",Architecture -- Sketch-books,8,389,English,2006-12-10
87,"The Pony Rider Boys in Texas; Or, The Veiled Riddle of the Plains",Patchin,Horsemanship -- Juvenile fiction,Texas -- Juvenile fiction,NA,13,49734,English,2006-12-10
88,"The Atlantic Monthly, Volume 16, No. 97, November, 1865",Various,American periodicals,NA,NA,26,83050,English,2006-12-11
89,Kootut teokset 3: Näytelmät,J. H. Erkko,Finnish drama,NA,NA,7,61532,Finnish,2006-12-11
90,"The Uncollected Writings of Thomas de Quincey, Vol. 2",Thomas De Quincey,English literature,NA,NA,17,95291,English,2006-12-11
91,No Surrender! A Tale of the Rising in La Vendee,G. A. Henty,Vendée (France) -- History -- Juvenile fiction,"France -- History -- Wars of the Vendée, 1793-1832 -- Juvenile fiction",NA,14,0,English,2006-12-11
92,Saint Bartholomew's Eve: A Tale of the Huguenot Wars,G. A. Henty,"France -- History -- Wars of the Huguenots, 1562-1598 -- Fiction",NA,NA,38,145749,English,2006-12-12
93,"The American Missionary — Volume 50, No. 04, April, 1896",Various,Congregational churches -- Missions -- Periodicals,Home missions -- Periodicals,NA,5,17507,English,2006-12-12
94,"Opere, Volume Secondo : scritti critici e letterari",Giovanni Berchet,Italian literature -- History and criticism,NA,NA,13,76511,Italian,2006-12-12
95,Journeys to Bagdad,Charles S. Brooks,Essays,NA,NA,19,23161,English,2006-12-12
96,Welsh Folk-Lore,Elias Owen,Tales -- Wales,Legends -- Wales,NA,81,115508,English,2006-12-12
97,The Tale of Mrs. Ladybug,Arthur Scott Bailey,Insects -- Juvenile fiction,Ladybugs -- Juvenile fiction,NA,28,13709,English,2006-12-12
98,Evening Round-Up,William Crosbie Hunter,Conduct of life,NA,NA,22,41246,English,2006-12-12
99,"Historia de la célebre Reina de España Doña Juana, llamada vulgarmente, La Lo","storia de la célebre Reina de España Doña Juana, llamada vulgarmente, La Loca","Juana, la Loca, Queen of Castile, 1479-1555",Queens -- Spain -- Castile -- Biography,NA,35,9070,Spanish,2006-12-14
100,Runoja,Veikko Antero Koskenniemi,Poetry,NA,NA,10,3537,Finnish,2006-12-14
101,Under Fire,Charles King,Indians of North America -- Fiction,Western stories,Frontier and pioneer life -- West (U.S.) -- Fiction,8,142889,English,2006-12-14
102,The International Monthly Magazine - Volume V - No II,Various,"Literature, Modern -- 19th century -- Periodicals","Art, Modern -- 19th century -- Periodicals",Science -- History -- Periodicals,21,136456,English,2006-12-13
103,A princeza na berlinda,Urbano de Castro,"Rattazzi, Marie, 1833-1902",NA,NA,7,7498,Portuguese,2006-12-13
104,The Cross-Cut,Courtney Ryley Cooper,Mines and mineral resources -- Colorado -- Fiction,NA,NA,23,77655,English,2006-12-13
105,The Land We Live In,Henry Mann,United States -- History,NA,NA,24,95751,English,2006-12-13
106,How Ethel Hollister Became a Campfire Girl,Irene Elliott Benson,Camp Fire Girls -- Juvenile fiction,NA,NA,8,31293,English,2006-12-13
107,Denmark,M. Pearson Thomson,Denmark -- Description and travel,NA,NA,8,19706,English,2006-12-13
108,"Mémoires du duc de Rovigo, pour servir à l'histoire de l'empereur Napoléon, To","moires du duc de Rovigo, pour servir à l'histoire de l'empereur Napoléon, Tome","Napoleon I, Emperor of the French, 1769-1821 -- Contemporaries","Savary, Anne-Jean-Marie-René, duc de Rovigo, 1774-1833",NA,9,96710,French,2006-12-14
109,"Reminiscences of Sixty Years in Public Affairs, Vol. 2",George S. Boutwell,United States -- Politics and government,"Boutwell, George S. (George Sewall), 1818-1905",NA,2,107830,English,2006-12-14
110,Canada: the Empire of the North,Agnes C. Laut,Canada -- History,NA,NA,34,147062,English,2006-12-14
111,With Those Who Wait,Frances Wilson Huard,"World War, 1914-1918 -- Personal narratives",NA,NA,7,43231,English,2006-12-15
112,Lill's Travels in Santa Claus Land,"Farman, Pratt, and Towne",Children's stories,Santa Claus -- Juvenile fiction,NA,36,10776,English,2006-12-15
113,Nonsense Drolleries,Edward Lear,Children's literature,English wit and humor,"Nonsense verses, English",75,822,English,2006-12-15
114,Goethen runoja,Johann Wolfgang von Goethe,German literature -- Translations into Finnish,NA,NA,10,5776,Finnish,2006-12-15
115,A Short History of the 6th Division: Aug. 1914-March 1919,Sir Thomas Owen Marden,"World War, 1914-1918 -- Campaigns -- Western Front","World War, 1914-1918 -- Regimental histories -- Great Britain","Great Britain. Army. Division, 6th",12,34069,English,2006-12-15
116,"The Belief in Immortality and the Worship of the Dead, Volume 1 (of 3)",Frazer,Immortality -- Comparative studies,Ancestor worship -- Oceania,Funeral rites and ceremonies -- Oceania,54,220287,English,2006-12-15
117,"Chatterbox, 1905.",Various,Children's periodicals,NA,NA,77,241958,English,2006-12-15
118,Valkeat kaupungit,Veikko Antero Koskenniemi,Poetry,NA,NA,12,3278,Finnish,2006-12-16
119,Ambrotox and Limping Dick,Oliver Fleming,Mystery fiction,NA,NA,10,60389,English,2006-12-16
120,"The Priest, the Woman and the Confessional",Charles Paschal Telesphore Chiniquy,Catholic Church -- Controversial literature -- Protestant authors,Confession,NA,30,54617,English,2006-12-16
121,Lone Star Planet,John Joseph McGuire and H. Beam Piper,Science fiction,Space colonies -- Fiction,NA,227,30605,English,2006-12-16
122,The Queen's Necklace,Alexandre Dumas,Biographical fiction,"Marie Antoinette, Queen, consort of Louis XVI, King of France, 1755-1793 -- Fiction","Cagliostro, Alessandro, conte di, 1743-1795 -- Fiction",942,127154,English,2006-12-16
123,"Golden Stars, and Other Verses Following ""The Red Flower""",Henry Van Dyke,"World War, 1914-1918 -- Poetry",NA,NA,5,2909,English,2006-12-16
124,Béarn and the Pyrenees,Louisa Stuart Costello,Pyrenees -- Description and travel,Béarn (France) -- Description and travel,NA,4,188952,English,2006-12-16
125,A Preface to Politics,Walter Lippmann,United States -- Politics and government,Social problems -- United States,NA,79,67048,English,2006-12-16
126,The Cave of Gold,Everett McNeil,California -- Gold discoveries -- Juvenile fiction,NA,NA,26,92851,English,2006-12-17
127,Here are Ladies,James Stephens,Poetry,Fiction,Short stories,14,56399,English,2006-12-19
128,Tolstoi's leven,Pavel Ivanovich Biriukov,"Tolstoy, Leo, graf, 1828-1910",NA,NA,16,127387,Dutch,2006-12-18
129,"Het Leven der Dieren: Deel 1, Hoofdstuk 04: De Roofdieren",Alfred Edmund Brehm,Animals,NA,NA,41,147287,Dutch,2006-12-18
130,"Magazine, or Animadversions on the English Spelling (1703)",G. W.,English language -- Orthography and spelling -- Early works to 1800,Spelling reform -- Early works to 1800,NA,11,10918,English,2006-12-18
131,The Mask: A Story of Love and Adventure,Arthur Hornblow,Adventure stories,Twins -- Fiction,NA,15,61228,English,2006-12-18
132,"The Wizard of the Sea; Or, A Trip Under the Ocean",Roy Rockwood,Conduct of life -- Juvenile fiction,Adventure stories,Voyages and travels -- Juvenile fiction,14,29019,English,2006-12-19
133,Bunny Brown and His Sister Sue at Aunt Lu's City Home,Laura Lee Hope,Brothers and sisters -- Juvenile fiction,New York (N.Y.) -- Juvenile fiction,Aunts -- Juvenile fiction,17,43907,English,2006-12-19
134,Bunny Brown and His Sister Sue at Christmas Tree Cove,Laura Lee Hope,Brothers and sisters -- Juvenile fiction,"Brown, Bunny (Fictitious character) -- Juvenile fiction",NA,3,43081,English,2006-12-19
135,The Angel of Death,Johan Olof Wallin,Poetry,NA,NA,20,4971,English,2006-12-20
136,The Seventeenth Highland Light Infantry (Glasgow Chamber of Commerce Battalio,e Seventeenth Highland Light Infantry (Glasgow Chamber of Commerce Battalion),"World War, 1914-1918 -- Regimental histories -- Great Britain",Great Britain. Army. Highland Light Infantry,NA,39,37348,English,2006-12-19
137,A Comparative View of Religions,Johannes Henricus Scholten,Religions,NA,NA,18,10499,English,2006-12-19
138,True Words for Brave Men: A Book for Soldiers' and Sailors' Libraries,Kingsley,Church of England -- Sermons,"Sermons, English",NA,13,73061,English,2006-12-19
139,Old Fogy: His Musical Opinions and Grotesques,James Huneker,Music -- Anecdotes,Piano music,NA,16,39124,English,2006-12-19
140,Hiilivalkea,Veikko Antero Koskenniemi,Poetry,NA,NA,3,5209,Finnish,2006-12-19
141,More Jonathan Papers,Elisabeth Woodbridge Morris,Essays,Outdoor life,NA,7,39471,English,2006-12-19
142,Os sonetos completos de Anthero de Quental,Antero de Quental,Portuguese poetry,NA,NA,15,19337,Portuguese,2006-12-20
143,La vie littéraire. Quatrième série,Anatole France,French literature -- History and criticism,NA,NA,14,91035,French,2006-12-20
144,The Fourth Book of Virgil's Aeneid and the Ninth Book of Voltaire's Henri,e Fourth Book of Virgil's Aeneid and the Ninth Book of Voltaire's Henriad,Virgil. Aeneis,"Voltaire, 1694-1778. Henriade",NA,14,12457,English,2006-12-20
145,Elegioja,Veikko Antero Koskenniemi,Poetry,NA,NA,28,6468,Finnish,2006-12-20
146,Engineering Bulletin No 1: Boiler and Furnace Testing,Rufus T. Strohm,Furnaces,Steam-boilers -- Testing,NA,14,8598,English,2006-12-20
147,Rip Foster Rides the Gray Planet,Harold L. Goodwin,Science fiction,Space flight -- Juvenile fiction,NA,26,52729,English,2006-12-20
148,Hannu; Nuori Anssi; Sydän ja Kuolema,Veikko Antero Koskenniemi,Poetry,Fiction,NA,23,12601,Finnish,2006-12-21
149,Paródia ao primeiro canto dos Lusíadas de Camões por quatro estudantes de Évo,ródia ao primeiro canto dos Lusíadas de Camões por quatro estudantes de Évora,"Camões, Luís de, 1524?-1580 -- Parodies, imitations, etc.",NA,NA,29,6959,Portuguese,2006-12-20
150,Notes on My Books,Joseph Conrad,"Conrad, Joseph, 1857-1924 -- Criticism and interpretation",NA,NA,23,36427,English,2006-12-20
151,"Hidden Treasures; Or, Why Some Succeed While Others Fail",Harry A. Lewis,Success,United States -- Biography,NA,152,144241,English,2006-12-20
152,The Winning Clue,James Hay,Detective and mystery stories,American fiction -- 20th century,NA,21,68063,English,2006-12-20
153,"The American Journal of Archaeology, 1893-1",Various,Art -- Periodicals,Archaeology -- Periodicals,NA,64,62590,English,2006-12-20
154,Invaders from the Infinite,Jr. John W. Campbell,Science fiction,NA,NA,69,64768,English,2006-12-20
155,The White Desert,Courtney Ryley Cooper,Railroad stories,Lumbering -- Fiction,NA,7,69540,English,2006-12-21
156,Strife and Peace,Fredrika Bremer,Norway -- Social life and customs -- 19th century -- Fiction,NA,NA,10,53989,English,2006-12-21
157,The Call of the Blood,Robert Hichens,Sicily (Italy) -- Fiction,Married people -- Fiction,British -- Italy -- Fiction,17,144653,English,2006-12-21
158,The Works of Lord Byron. Vol. 4,Baron George Gordon Byron Byron,Poetry,NA,NA,309,171756,English,2006-12-22
159,Catálogo Instructivo de las Colecciones Mineralógicas,Bodenbender and Hermitte,Minerals -- Catalogs and collections,NA,NA,13,2342,Spanish,2006-12-22
160,A History of American Christianity,Leonard Woolsey Bacon,United States -- Church history,United States -- Religion,NA,39,134325,English,2006-12-22
161,Sophisms of the Protectionists,Frédéric Bastiat,Free trade,NA,NA,14,93207,English,2006-12-22
162,La kolonoj de la socio: Dramo en kvar aktoj,Henrik Ibsen,Norwegian drama,NA,NA,10,28825,Esperanto,2006-12-22
163,The Jolliest School of All,Angela Brazil,Schools -- Juvenile fiction,Girls -- Juvenile fiction,Italy -- Juvenile fiction,30,73737,English,2006-12-22
164,"Critical Miscellanies, Vol. 1 (of 3), Essay 4: Macaulay",John Morley,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",NA,NA,8,10429,English,2006-12-22
165,The Theory and Practice of Perspective,G. A. Storey,Perspective,Drawing -- Technique,NA,155,43639,English,2006-12-22
166,Lyyra ja paimenhuilu: Runosuomennoksia,Veikko Antero Koskenniemi,Poetry,NA,NA,1,6397,Finnish,2006-12-23
167,"Nieuw-Guinee en de exploratie der ""Meervlakte""",Doorman and Langeler,Papua (Indonesia) -- Discovery and exploration,NA,NA,12,43622,Dutch,2006-12-23
168,Guano: A Treatise of Practical Information for Farmers,Solon Robinson,Guano,NA,NA,6,44921,English,2006-12-23
169,"A bihari remete, és egyéb történetek",Aurél Kárpáti,Fiction,Short stories,NA,7,11734,Hungarian,2006-12-23
170,"Legend Land, Vol. 1",G. Basil Barham,Folklore -- England,Tales -- England,"Folk literature, English",137,0,English,2006-12-23
171,Gov. Bob. Taylor's Tales,Robt. L. Taylor,"Speeches, addresses, etc.",NA,NA,27,29782,English,2006-12-23
172,"The Flutter of the Goldleaf, and Other Plays",Dargan and Peterson,American drama -- 20th century,NA,NA,23,15895,English,2006-12-23
173,The Romance of Golden Star ...,George Chetwynd Griffith,Fantasy fiction,NA,NA,20,66416,English,2006-12-23
174,"Freedom, Truth and Beauty",Edward Doyle,American poetry,NA,NA,15,18167,English,2006-12-23
175,Φθινόπωρο,Kostantinos Chatzopoulos,Fiction,NA,NA,22,40459,Greek,2006-12-23
176,The Drone,Rutherford Mayne,Ireland -- Drama,Ulster (Northern Ireland and Ireland) -- Drama,NA,6,20549,English,2006-12-23
177,"John Bull; Or, The Englishman's Fireside: A Comedy, in Five Acts",George Colman,Comedies,English drama,NA,8,25194,English,2006-12-23
178,John Gabriel Borkman,Henrik Ibsen,Norwegian drama,NA,NA,10,22455,Esperanto,2006-12-23
179,"The Ship of Fools, Volume 1",Sebastian Brant,German poetry -- Translations into English,English poetry -- Translations from German,NA,253,86327,English,2006-12-23
180,Mr. Kris Kringle: A Christmas Tale,S. Weir Mitchell,Christmas stories,NA,NA,9,5761,English,2006-12-25
181,A Defective Santa Claus,James Whitcomb Riley,Christmas -- Poetry,NA,NA,22,2281,English,2006-12-25
182,La rovina,Angiolo Silvio Novaro,Fiction,NA,NA,4,17150,Italian,2006-12-26
183,John Quincy Adams,Jr. John T. Morse,Presidents -- United States -- Biography,United States -- Politics and government -- 1815-1861,"Adams, John Quincy, 1767-1848",31,80032,English,2006-12-26
184,The Adventures of Uncle Jeremiah and Family at the Great Fair,C. M. Stevens,"World's Columbian Exposition (1893 : Chicago, Ill.) -- Fiction",NA,NA,6,53873,English,2006-12-26
185,Eventide,Effie Afton,Poetry,Fiction,NA,13,122968,English,2006-12-26
186,"The Dismal Swamp and Lake Drummond, Early recollections",Robert Arnold,Dismal Swamp (N.C. and Va.),"Drummond, Lake (Va.)",NA,7,22157,English,2006-12-26
187,On Christmas Day in the Morning,Grace S. Richmond,Christmas stories,NA,NA,12,5733,English,2006-12-26
188,Coriolanus,William Shakespeare,Tragedies,Generals -- Drama,Rome -- Drama,4,21251,Finnish,2006-12-26
189,Recollections of Manilla and the Philippines,Robert MacMicking,Philippines,Manila (Philippines),NA,23,60201,English,2006-12-26
190,The Handy Cyclopedia of Things Worth Knowing,Joseph Triemens,Encyclopedias and dictionaries,NA,NA,63,101953,English,2006-12-26
191,Bell's Cathedrals: The Cathedral Church of Durham,Joseph E. Bygate,Durham Cathedral,Church of England. Diocese of Durham,NA,33,27046,English,2006-12-26
192,Orrain: A Romance,S. Levett Yeats,France -- History -- 16th century -- Fiction,NA,NA,12,90161,English,2006-12-26
